Name,Job History,Core Skills,Certifications,Education,Languages,Project History,Leadership Experience,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Cognitive Style,Conflict Resolution Style,Work Environment Preference,Team Role Tendency,Risk Tolerance,Preferred Industry,Geographic Preference,Ideal Team Size,Career Aspiration,Work-Life Balance Preference,Matched Role
Kenneth Mason,Project Manager (1 yrs); Software Engineer (2 yrs),"Docker, Time Management, Team Leadership, Problem Solving","Certified ScrumMaster (CSM), CompTIA Security+","BA Business Administration, University of California","English, Mandarin",Data Scientist project: Outcome - Whiteboard back-end schemas; Security Analyst project: Outcome - Enable customized relationships,No,4.9,2.3,2.8,4.2,1.8,Logical,Avoidant,Balanced,Resource Investigator,Medium,Education,Remote,Medium (6-15),Management,High,Data Analyst
Tabitha Smith,Network Administrator (3 yrs); Business Analyst (5 yrs),"SQL, Docker, Time Management, Java","Cisco CCNA, AWS Certified Solutions Architect","MSc Data Science, University of Texas","English, Mandarin",Software Engineer project: Outcome - Benchmark strategic content; DevOps Engineer project: Outcome - Synergize frictionless metrics,No,2.8,2.5,4.1,2.2,3.9,Creative,Avoidant,Balanced,Completer-Finisher,Low,Retail,On-site,Large (16+),Innovation,Low,DevOps Specialist
Matthew Crawford,Project Manager (5 yrs); Business Analyst (2 yrs),"Java, AWS, Communication, Critical Thinking","Certified Information Systems Security Professional (CISSP), PMP","BSc Information Systems, University of Texas","English, Japanese",Cloud Architect project: Outcome - Extend plug-and-play info-mediaries; Security Analyst project: Outcome - Embrace dot-com bandwidth,No,1.5,3.8,3.5,2.0,2.6,Creative,Competitive,Balanced,Implementer,High,Education,On-site,Large (16+),Technical Expert,High,DevOps Specialist
Justin Robinson,Cloud Architect (5 yrs); DevOps Engineer (4 yrs),"Team Leadership, AWS, Java, Docker","AWS Certified Solutions Architect, Certified Information Systems Security Professional (CISSP)","BSc Information Systems, University of Texas","German, Mandarin",Project Manager project: Outcome - Leverage scalable methodologies; Business Analyst project: Outcome - Enhance efficient infrastructures,No,2.1,5.0,3.7,4.1,2.7,Analytical,Avoidant,Flexible,Coordinator,Medium,Manufacturing,On-site,Small (1-5),Technical Expert,Moderate,Product Owner
Justin Flynn,Security Analyst (5 yrs); Business Analyst (2 yrs),"Python, Docker, Communication, Problem Solving","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","MBA, University of Texas","Japanese, German",Software Engineer project: Outcome - Engage one-to-one networks; Network Administrator project: Outcome - Target strategic convergence,No,4.9,4.6,1.1,3.7,3.1,Intuitive,Avoidant,Flexible,Coordinator,Medium,Technology,Remote,Medium (6-15),Technical Expert,Low,Systems Architect
Christopher Roberts,Network Administrator (1 yrs); Project Manager (1 yrs),"Java, Docker, AWS, Time Management","PMP, CompTIA Security+","BSc Information Systems, Stanford University","Spanish, German",Cloud Architect project: Outcome - Scale front-end markets; Security Analyst project: Outcome - Expedite dynamic eyeballs,No,4.4,4.1,4.2,4.7,2.3,Logical,Avoidant,Flexible,Coordinator,Medium,Education,On-site,Medium (6-15),Management,Moderate,Security Engineer
Margaret Jacobs,Security Analyst (5 yrs); Software Engineer (5 yrs),"Java, Problem Solving, Time Management, Critical Thinking","CompTIA Security+, Certified Information Systems Security Professional (CISSP)","BSc Computer Science, Stanford University","English, French",Data Scientist project: Outcome - Engineer killer systems; Data Scientist project: Outcome - Extend transparent roi,No,1.8,1.0,3.6,2.4,1.8,Logical,Compromising,Balanced,Coordinator,High,Retail,Hybrid,Small (1-5),Management,High,Systems Architect
Hannah Garner,Software Engineer (3 yrs); Data Scientist (4 yrs),"Python, Docker, AWS, Java","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","BSc Computer Science, Carnegie Mellon University","French, Spanish",DevOps Engineer project: Outcome - Grow rich deliverables; Network Administrator project: Outcome - Engineer distributed e-tailers,Yes,2.3,2.4,3.0,4.5,3.2,Intuitive,Avoidant,Flexible,Shaper,Medium,Education,Hybrid,Small (1-5),Innovation,Moderate,Security Engineer
Richard Peterson,DevOps Engineer (3 yrs); Business Analyst (2 yrs),"Java, Docker, Python, AWS","AWS Certified Solutions Architect, Certified ScrumMaster (CSM)","MBA, University of California","English, Mandarin",Business Analyst project: Outcome - Re-contextualize clicks-and-mortar networks; Cloud Architect project: Outcome - Grow global models,No,1.2,4.3,2.9,5.0,1.5,Intuitive,Collaborative,Balanced,Shaper,Medium,Technology,Hybrid,Small (1-5),Technical Expert,High,Data Analyst
Renee Wright,Business Analyst (5 yrs); Software Engineer (3 yrs),"Critical Thinking, SQL, AWS, Python","PMP, AWS Certified Solutions Architect","BSc Information Systems, University of California","Mandarin, English",Project Manager project: Outcome - Engineer strategic portals; Business Analyst project: Outcome - Incubate killer schemas,No,4.8,2.3,4.7,3.4,3.6,Intuitive,Collaborative,Balanced,Completer-Finisher,Medium,Manufacturing,Hybrid,Small (1-5),Technical Expert,High,QA Engineer
